name_ar,category,full_address,phone_number,website,rating,city_ar,region_ar,latitude,longitude,google_maps_url
صالة أبو السعود الرياضية,N/A,طريق الكورنيش، الغدير، سيهات‎ 32451,N/A,N/A,4.5,سيهات,المنطقة الشرقية,N/A,N/A,https://www.google.com/maps/place/%D8%B5%D8%A7%D9%84%D8%A9+%D8%A3%D8%A8%D9%88+%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x3e49fe5767550cd3:0xc350cb257786659c!8m2!3d26.4879971!4d50.0559977!16s%2Fg%2F11dxntz7pv!19sChIJ0wxVZ1f-ST4RnGWGdyXLUMM?authuser=0&hl=ar&rclk=1
Fitness Lounge Wellness and Spa,N/A,"Alkhaleej, سيهات‎ 32451",056 322 2440,N/A,4.7,سيهات,المنطقة الشرقية,N/A,N/A,https://www.google.com/maps/place/Fitness+Lounge+Wellness+and+Spa/data=!4m7!3m6!1s0x3e49ff6878eafd9d:0x6e5b426590f4d8c1!8m2!3d26.4956199!4d50.0429565!16s%2Fg%2F11f7synbwx!19sChIJnf3qeGj_ST4Rwdj0kGVCW24?authuser=0&hl=ar&rclk=1
Champions Gym,N/A,"3713, 8916, سيهات‎ 32462",050 584 0838,N/A,4.3,سيهات,المنطقة الشرقية,N/A,N/A,https://www.google.com/maps/place/Champions+Gym/data=!4m7!3m6!1s0x3e49ffd7cdbfab45:0x5f88936d1c5c0a66!8m2!3d26.4928382!4d50.0193428!16s%2Fg%2F11crzj65tc!19sChIJRau_zdf_ST4RZgpcHG2TiF8?authuser=0&hl=ar&rclk=1
WARRIOR GYM واريور جيم (مركز شجاعة محارب),N/A,إبراهيم الشاطبي، المنتزه، سيهات‎ 32452,058 315 9590,https://www.instagram.com/warriorgym.ksa?igsh=anc0ZmFrZW9pNDlo,5.0,سيهات,المنطقة الشرقية,N/A,N/A,https://www.google.com/maps/place/WARRIOR+GYM+%D9%88%D8%A7%D8%B1%D9%8A%D9%88%D8%B1+%D8%AC%D9%8A%D9%85+%28%D9%85%D8%B1%D9%83%D8%B2+%D8%B4%D8%AC%D8%A7%D8%B9%D8%A9+%D9%85%D8%AD%D8%A7%D8%B1%D8%A8%29%E2%80%AD/data=!4m7!3m6!1s0x3e49ff43dc47359d:0x626748d34d4b5e7b!8m2!3d26.4957051!4d50.0421958!16s%2Fg%2F11yrt81w76!19sChIJnTVH3EP_ST4Re15LTdNIZ2I?authuser=0&hl=ar&rclk=1
مركز أورنج الرياضي النسائي,N/A,"بجانب وكالة تويوتا, Khaleej Rd، قرطبة، سيهات‎ 32453",013 803 0120,https://salla.sa/orange-ladies-fitness-center?_gl=1%2A1y6z2jx%2A_gcl_au%2AMjAyNzM0NTg4OC4xNzI1MzkwODM5&expires=1731917571&identifier=999925439&signature=2110d828045c22ebdcc2602bfd03f19a96e81f072f9eed0d37f7af47b70df374,4.3,سيهات,المنطقة الشرقية,N/A,N/A,https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%A3%D9%88%D8%B1%D9%86%D8%AC+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6%D9%8A+%D8%A7%D9%84%D9%86%D8%B3%D8%A7%D8%A6%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x3e49ffc7a1903b31:0x1774155bb2c3977c!8m2!3d26.504367!4d50.0372828!16s%2Fg%2F11ggsn27dn!19sChIJMTuQocf_ST4RfJfDslsVdBc?authuser=0&hl=ar&rclk=1
Gold's Gym,N/A,F2PQ+4V5، شارع عمر بن عبدالعزيز، النور، سيهات‎ 32452,013 837 2220,N/A,4.1,سيهات,المنطقة الشرقية,N/A,N/A,https://www.google.com/maps/place/Gold%27s+Gym/data=!4m7!3m6!1s0x3e49fe49d987f581:0xbf129efba3c39c38!8m2!3d26.4852699!4d50.03974!16s%2Fg%2F1q64ljb30!19sChIJgfWH2Un-ST4ROJzDo_ueEr8?authuser=0&hl=ar&rclk=1
مركز الأمير فيصل بن فهد للمناسبات سيهات,N/A,شارع كعب الأحباري، الخليج، سيهات‎ 32437,050 311 1597,https://ar-ar.facebook.com/khaleejalbarakah/,4.6,سيهات,المنطقة الشرقية,N/A,N/A,https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D8%A3%D9%85%D9%8A%D8%B1+%D9%81%D9%8A%D8%B5%D9%84+%D8%A8%D9%86+%D9%81%D9%87%D8%AF+%D9%84%D9%84%D9%85%D9%86%D8%A7%D8%B3%D8%A8%D8%A7%D8%AA+%D8%B3%D9%8A%D9%87%D8%A7%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x3e49fe3dbe8069c7:0x2d2a65c0d57e5a6b!8m2!3d26.471933!4d50.0330756!16s%2Fg%2F11bz_0nvhh!19sChIJx2mAvj3-ST4Ra1p-1cBlKi0?authuser=0&hl=ar&rclk=1
وقت تحدي الحسناء,N/A,"6212, 3611 طريق الملك عبدالعزيز، النور،، سيهات‎ 32452،",N/A,N/A,4.9,سيهات,المنطقة الشرقية,N/A,N/A,https://www.google.com/maps/place/%D9%88%D9%82%D8%AA+%D8%AA%D8%AD%D8%AF%D9%8A+%D8%A7%D9%84%D8%AD%D8%B3%D9%86%D8%A7%D8%A1%E2%80%AD/data=!4m7!3m6!1s0x3e49ff8f8605a6ad:0x1db68ae2aae3540!8m2!3d26.4814085!4d50.0449737!16s%2Fg%2F11tb5w9vvf!19sChIJraYFho__ST4RQDWuKq5o2wE?authuser=0&hl=ar&rclk=1
Stil Studio,N/A,"JFC- Al, Khaleej Rd, المنتزه، سيهات‎ 32452",050 731 8115,http://stilstudiosa.com/,5.0,سيهات,المنطقة الشرقية,N/A,N/A,https://www.google.com/maps/place/Stil+Studio/data=!4m7!3m6!1s0x3e49ff0064c326ad:0x59a23c981e922bf2!8m2!3d26.4957389!4d50.0420839!16s%2Fg%2F11yvqysnmb!19sChIJrSbDZAD_ST4R8iuSHpg8olk?authuser=0&hl=ar&rclk=1
بشاير للرياضة,N/A,F2GV+WC2، شارع ٥، الفردوس، سيهات‎ 32434,N/A,N/A,4.5,سيهات,المنطقة الشرقية,N/A,N/A,https://www.google.com/maps/place/%D8%A8%D8%B4%D8%A7%D9%8A%D8%B1+%D9%84%D9%84%D8%B1%D9%8A%D8%A7%D8%B6%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x3e49fe4169bb7d03:0xe388d1c5e905736b!8m2!3d26.4772529!4d50.0435109!16s%2Fg%2F11gbk41fxy!19sChIJA327aUH-ST4Ra3MF6cXRiOM?authuser=0&hl=ar&rclk=1
مركز الأمير فيصل بن فهد للمناسبات سيهات,N/A,شارع كعب الأحباري، الخليج، سيهات‎ 32437,050 311 1597,https://ar-ar.facebook.com/khaleejalbarakah/,4.6,سيهات,المنطقة الشرقية,26.471933,50.0330756,"https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D8%A3%D9%85%D9%8A%D8%B1+%D9%81%D9%8A%D8%B5%D9%84+%D8%A8%D9%86+%D9%81%D9%87%D8%AF+%D9%84%D9%84%D9%85%D9%86%D8%A7%D8%B3%D8%A8%D8%A7%D8%AA+%D8%B3%D9%8A%D9%87%D8%A7%D8%AA%E2%80%AD/@26.471933,50.0330756,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49fe3dbe8069c7:0x2d2a65c0d57e5a6b!8m2!3d26.471933!4d50.0330756!16s%2Fg%2F11bz_0nvhh?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
Amdein,N/A,F2JR+P8H، شارع عمر بن عبدالعزيز، الديرة، سيهات‎ 32461,050 013 8515,N/A,4.2,سيهات,المنطقة الشرقية,N/A,N/A,https://www.google.com/maps/place/Amdein/data=!4m7!3m6!1s0x3e49fe47c4808ab9:0xd50f09dea0a871f1!8m2!3d26.4818046!4d50.0408557!16s%2Fg%2F11gfmm4zrc!19sChIJuYqAxEf-ST4R8XGooN4JD9U?authuser=0&hl=ar&rclk=1
ملاعب الراية بسيهات,N/A,7954، 5072، عنك 32465,N/A,N/A,4.2,سيهات,المنطقة الشرقية,N/A,N/A,https://www.google.com/maps/place/%D9%85%D9%84%D8%A7%D8%B9%D8%A8+%D8%A7%D9%84%D8%B1%D8%A7%D9%8A%D8%A9+%D8%A8%D8%B3%D9%8A%D9%87%D8%A7%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x3e360023abf688f1:0x4abcfed394ccd779!8m2!3d26.4993536!4d50.0115181!16s%2Fg%2F11csqhpmlz!19sChIJ8Yj2qyMANj4RedfMlNP-vEo?authuser=0&hl=ar&rclk=1
تسعة أحجار,N/A,"Umar ibn abdulaziz st, الزهور، سيهات‎ 32437",055 789 4007,N/A,4.0,سيهات,المنطقة الشرقية,N/A,N/A,https://www.google.com/maps/place/%D8%AA%D8%B3%D8%B9%D8%A9+%D8%A3%D8%AD%D8%AC%D8%A7%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x3e49ff3c5cf46557:0x534728d419f6fa12!8m2!3d26.4707398!4d50.0452285!16s%2Fg%2F11vz28glxz!19sChIJV2X0XDz_ST4REvr2GdQoR1M?authuser=0&hl=ar&rclk=1
مركز ترياق الشباب للمساج,N/A,"Khaleej Rd, المنتزه، سيهات‎ 32452",N/A,https://www.instagram.com/man_care_center,3.7,سيهات,المنطقة الشرقية,N/A,N/A,https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%AA%D8%B1%D9%8A%D8%A7%D9%82+%D8%A7%D9%84%D8%B4%D8%A8%D8%A7%D8%A8+%D9%84%D9%84%D9%85%D8%B3%D8%A7%D8%AC%E2%80%AD/data=!4m7!3m6!1s0x3e49fe4c92908ced:0x54cd3798ad4a7393!8m2!3d26.4922996!4d50.0454288!16s%2Fg%2F11gf95p69r!19sChIJ7YyQkkz-ST4Rk3NKrZg3zVQ?authuser=0&hl=ar&rclk=1
Gaia Flow Yoga Studio || يوغا استديو نسائي,N/A,"7113 Sibawaih, الزهور، AzZuhur, سيهات‎ 32437",054 275 7771,https://gaiaflow-sa.com/,5.0,سيهات,المنطقة الشرقية,N/A,N/A,https://www.google.com/maps/place/Gaia+Flow+Yoga+Studio+%7C%7C+%D9%8A%D9%88%D8%BA%D8%A7+%D8%A7%D8%B3%D8%AA%D8%AF%D9%8A%D9%88+%D9%86%D8%B3%D8%A7%D8%A6%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x3e49fd06d988b889:0x449426bd60aedd7a!8m2!3d26.4696062!4d50.0372236!16s%2Fg%2F11x2jc4vy5!19sChIJibiI2Qb9ST4Ret2uYL0mlEQ?authuser=0&hl=ar&rclk=1
