name_ar,category,full_address,phone_number,website,rating,plus_code,opening_times,opening_status,price_range,city_ar,region_ar,latitude,longitude,google_maps_url
صيدلية اكسير Exceer Pharmacy 11,صيدلية,المنتزه، سيهات‎ 32452,9200 04034,https://exceeronline.com/ar,4.3,F2JW+C6,"{""الأحد"": ""٩:٠٠ص–١٢:٠٠م٣:٣٠م–١٢:٠٠ص""}",مغلق · يفتح عند الساعة ٣:٣٠ م,N/A,سيهات,المنطقة الشرقية,26.4811139,50.0456054,"https://www.google.com/maps/place/%D8%B5%D9%8A%D8%AF%D9%84%D9%8A%D8%A9+%D8%A7%D9%83%D8%B3%D9%8A%D8%B1+Exceer+Pharmacy+11%E2%80%AD/@26.4811139,50.0456054,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49ff915ab46f75:0x21da7da0cd857515!8m2!3d26.4811139!4d50.0456054!16s%2Fg%2F11lckf1xg4?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
صيدلية الرضا,N/A,F2QR+Q24، شارع أبو موسى الأنصاري، النور، سيهات‎ 32452,013 856 0480,N/A,2.4,F2QR+Q24,N/A,مغلق نهائيًا,N/A,سيهات,المنطقة الشرقية,26.489399,50.0400826,"https://www.google.com/maps/place/%D8%B5%D9%8A%D8%AF%D9%84%D9%8A%D8%A9+%D8%A7%D9%84%D8%B1%D8%B6%D8%A7%E2%80%AD/@26.489399,50.0400826,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49fe4a6485d129:0x12011abf74d8941e!8m2!3d26.489399!4d50.0400826!16s%2Fg%2F11clvgntxr?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
مركز صحي سيهات ٢,مركز طبي,شارع عمر بن عبدالعزيز، النور، سيهات‎ 32452,013 856 1830,N/A,3.8,F2JR+7Q,"{""الأحد"": ""٨:٠٠ص–١٢:٠٠ص""}",مفتوح · يغلق عند الساعة ١٢ ص,N/A,سيهات,المنطقة الشرقية,26.4806992,50.0418864,"https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%B5%D8%AD%D9%8A+%D8%B3%D9%8A%D9%87%D8%A7%D8%AA+%D9%A2%E2%80%AD/@26.4806992,50.0418864,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49fe465570c381:0x6fe4bbad77d9af30!8m2!3d26.4806992!4d50.0418864!16s%2Fg%2F12hm4fblh?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
مجمع الدر الطبي التخصصي,مركز طبي,EMMB4146، طريق الخليج، الغدير، سيهات‎ 32451,9200 13045,https://www.aldorrmed.com/,4.8,F3Q2+43,"{""الأحد"": ""٩:٠٠ص–٩:٠٠م""}",مفتوح · يغلق عند الساعة ٩ م,N/A,سيهات,المنطقة الشرقية,26.4878731,50.0501484,"https://www.google.com/maps/place/%D9%85%D8%AC%D9%85%D8%B9+%D8%A7%D9%84%D8%AF%D8%B1+%D8%A7%D9%84%D8%B7%D8%A8%D9%8A+%D8%A7%D9%84%D8%AA%D8%AE%D8%B5%D8%B5%D9%8A%E2%80%AD/@26.4878731,50.0501484,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49ffd4af0c3ae7:0xba536fbe0e1c23be!8m2!3d26.4878731!4d50.0501484!16s%2Fg%2F11rf8vs1_g?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
مستشفى الصادق,مستشفى,شارع أبو موسى الأنصاري، النور، سيهات‎ 32452,013 850 0160,http://www.alsadiqhospital.com/,2.7,F2QQ+PX,"{""الأحد"": ""نعمل على مدار 24 ساعة""}",مفتوح على مدار الساعة,N/A,سيهات,المنطقة الشرقية,26.4893564,50.0399924,"https://www.google.com/maps/place/%D9%85%D8%B3%D8%AA%D8%B4%D9%81%D9%89+%D8%A7%D9%84%D8%B5%D8%A7%D8%AF%D9%82%E2%80%AD/@26.4893564,50.0399924,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49fe4a64e3a1c7:0xbf6b66f609ed8698!8m2!3d26.4893564!4d50.0399924!16s%2Fg%2F1thtbm0c?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
مركز صحي سيهات الثالث,المركز الطبي العام,4844 شارع أحمد شوقي، غرناطة، سيهات‎ 32434,013 850 0509,http://www.moh.gov.sa/,3.5,F2HX+4H,"{""الأحد"": ""٨:٠٠ص–٤:٠٠م""}",مفتوح · يغلق عند الساعة ٤ م,N/A,سيهات,المنطقة الشرقية,26.4778487,50.0489674,"https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%B5%D8%AD%D9%8A+%D8%B3%D9%8A%D9%87%D8%A7%D8%AA+%D8%A7%D9%84%D8%AB%D8%A7%D9%84%D8%AB%E2%80%AD/@26.4778487,50.0489674,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49fe42d79c8bcd:0xcd9467e9ae20e4e9!8m2!3d26.4778487!4d50.0489674!16s%2Fg%2F11c70053hg?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
مجمع الربان الطبي,مستشفى عام,7315 أبو النصر الحسيني، الفردوس، سيهات‎ 32434,013 838 7401,https://www.instagram.com/rubbanmedical?igsh=MXF0OWloOXdzeGx3MQ==,3.1,F2CW+MJ,"{""الأحد"": ""نعمل على مدار 24 ساعة""}",مفتوح على مدار الساعة,N/A,سيهات,المنطقة الشرقية,26.4717076,50.0466034,"https://www.google.com/maps/place/%D9%85%D8%AC%D9%85%D8%B9+%D8%A7%D9%84%D8%B1%D8%A8%D8%A7%D9%86+%D8%A7%D9%84%D8%B7%D8%A8%D9%8A%E2%80%AD/@26.4717076,50.0466034,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49fe691b2d1f05:0x32ebb643ff36701e!8m2!3d26.4717076!4d50.0466034!16s%2Fg%2F1hm5x4kz5?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
مركز صحي سيهات 1,المركز الطبي العام,7980 شارع ٥ (أ)، قرطبة، سيهات‎ 32453,013 850 3021,http://www.moh.gov.sa/,4.2,F2WP+WQ,"{""الأحد"": ""٨:٠٠ص–٤:٠٠م""}",مفتوح · يغلق عند الساعة ٤ م,N/A,سيهات,المنطقة الشرقية,26.49733,50.03694,"https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%B5%D8%AD%D9%8A+%D8%B3%D9%8A%D9%87%D8%A7%D8%AA+1%E2%80%AD/@26.49733,50.03694,16z/data=!3m1!4b1!4m6!3m5!1s0x3e49ffc9a1c5355d:0x9ae5c79f6d807ab5!8m2!3d26.49733!4d50.03694!16s%2Fg%2F1pp2tzf5b?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
مجمع فراشة الحياة الطبي,مركز طبي,"8201-8221 Khaleej Rd, الكوثر، First Floor, سيهات‎ 32431",056 522 4911,N/A,4.5,F3J3+XP,"{""الأحد"": ""١٢:٠٠–٨:٠٠م""}",مفتوح · يغلق عند الساعة ٨ م,N/A,سيهات,المنطقة الشرقية,26.4823806,50.0543493,"https://www.google.com/maps/place/%D9%85%D8%AC%D9%85%D8%B9+%D9%81%D8%B1%D8%A7%D8%B4%D8%A9+%D8%A7%D9%84%D8%AD%D9%8A%D8%A7%D8%A9+%D8%A7%D9%84%D8%B7%D8%A8%D9%8A%E2%80%AD/@26.4823806,50.0543493,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49fe5bf928a289:0x6b517a49acc1f5b1!8m2!3d26.4823806!4d50.0543493!16s%2Fg%2F11c1n4_xg6?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
Padi Clinic| عيادات بداية الطفل لطب أسنان الأطفال - سيهات,عِيادة أسنان,الخليج، سيهات‎ 32451,050 116 3444,https://instagram.com/padiclinic?igshid=130cle6j9j4jl,4.5,F3P2+PF,"{""الأحد"": ""٩:٠٠ص–٩:٠٠م""}",مفتوح · يغلق عند الساعة ٩ م,N/A,سيهات,المنطقة الشرقية,26.4867607,50.0511421,"https://www.google.com/maps/place/Padi+Clinic%7C+%D8%B9%D9%8A%D8%A7%D8%AF%D8%A7%D8%AA+%D8%A8%D8%AF%D8%A7%D9%8A%D8%A9+%D8%A7%D9%84%D8%B7%D9%81%D9%84+%D9%84%D8%B7%D8%A8+%D8%A3%D8%B3%D9%86%D8%A7%D9%86+%D8%A7%D9%84%D8%A3%D8%B7%D9%81%D8%A7%D9%84+-+%D8%B3%D9%8A%D9%87%D8%A7%D8%AA%E2%80%AD/@26.4867607,50.0511421,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49fff601d08615:0xc95d43ad95182412!8m2!3d26.4867607!4d50.0511421!16s%2Fg%2F11fp0qpqxs?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
