name_ar,category,full_address,phone_number,website,rating,plus_code,opening_times,opening_status,price_range,city_ar,region_ar,latitude,longitude,google_maps_url
الدفاع المدني بالحي الديره,الدفاع المدني,7478 عمر بن عبد العزيز، 5883، الديرة،، سيهات‎ 32461،,N/A,http://998.gov.sa/,5.0,F2JR+2H,"{""الأحد"": ""نعمل على مدار 24 ساعة""}",مفتوح على مدار الساعة,N/A,سيهات,المنطقة الشرقية,26.480044,50.0414717,"https://www.google.com/maps/place/%D8%A7%D9%84%D8%AF%D9%81%D8%A7%D8%B9+%D8%A7%D9%84%D9%85%D8%AF%D9%86%D9%8A+%D8%A8%D8%A7%D9%84%D8%AD%D9%8A+%D8%A7%D9%84%D8%AF%D9%8A%D8%B1%D9%87%E2%80%AD/@26.480044,50.0414717,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49fffff0c2b6bf:0x8c6c48f9ca5efaa1!8m2!3d26.480044!4d50.0414717!16s%2Fg%2F11t8p964x9?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
مركز الدفاع المدني بالنابية بسيهات,مركز إطفاء,F2F6+WPW، النابية، سيهات‎ 32471,N/A,N/A,4.6,F2F6+WPW,N/A,N/A,N/A,سيهات,المنطقة الشرقية,26.4748569,50.0118313,"https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D8%AF%D9%81%D8%A7%D8%B9+%D8%A7%D9%84%D9%85%D8%AF%D9%86%D9%8A+%D8%A8%D8%A7%D9%84%D9%86%D8%A7%D8%A8%D9%8A%D8%A9+%D8%A8%D8%B3%D9%8A%D9%87%D8%A7%D8%AA%E2%80%AD/@26.4748569,50.0118313,17z/data=!3m1!4b1!4m6!3m5!1s0x3e3601d0e51e80db:0xfce8198e5cbed466!8m2!3d26.4748569!4d50.0118313!16s%2Fg%2F1yfp0gv9k?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
جمعية سيهات للخدمات الاجتماعية فرع الدمام,منظمة خدمات اجتماعية,8853 3929 عمر بن عبد العزيز، المحمدية، الدمام 32433,053 628 2885,https://store.saihat-society.sa/,4.5,F27X+CJ,"{""الأحد"": ""٧:٣٠–١١:٠٠ص٣:٣٠–٩:٠٠م""}",مفتوح · يغلق عند الساعة ٩ م,N/A,سيهات,المنطقة الشرقية,26.4635778,50.0490754,"https://www.google.com/maps/place/%D8%AC%D9%85%D8%B9%D9%8A%D8%A9+%D8%B3%D9%8A%D9%87%D8%A7%D8%AA+%D9%84%D9%84%D8%AE%D8%AF%D9%85%D8%A7%D8%AA+%D8%A7%D9%84%D8%A7%D8%AC%D8%AA%D9%85%D8%A7%D8%B9%D9%8A%D8%A9+%D9%81%D8%B1%D8%B9+%D8%A7%D9%84%D8%AF%D9%85%D8%A7%D9%85%E2%80%AD/@26.4635778,50.0490754,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49fe707cb3841b:0xe1bc2390a6b84875!8m2!3d26.4635778!4d50.0490754!16s%2Fg%2F11c0r5czxx?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
جمعية سيهات للخدمات الإجماعية - الفرع الرئيسي,جمعية / منظمة,F2PV+R5F، المنتزه، سيهات‎ 32452,013 856 1062,https://www.saihatss.sa/,2.9,F2PV+R5F,"{""الأحد"": ""٨:٠٠ص–٨:٠٠م""}",مفتوح · يغلق عند الساعة ٨ م,N/A,سيهات,المنطقة الشرقية,26.4870531,50.0429104,"https://www.google.com/maps/place/%D8%AC%D9%85%D8%B9%D9%8A%D8%A9+%D8%B3%D9%8A%D9%87%D8%A7%D8%AA+%D9%84%D9%84%D8%AE%D8%AF%D9%85%D8%A7%D8%AA+%D8%A7%D9%84%D8%A5%D8%AC%D9%85%D8%A7%D8%B9%D9%8A%D8%A9+-+%D8%A7%D9%84%D9%81%D8%B1%D8%B9+%D8%A7%D9%84%D8%B1%D8%A6%D9%8A%D8%B3%D9%8A%E2%80%AD/@26.4870531,50.0429104,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49ff0060687367:0x65b4b3008977b7b5!8m2!3d26.4870531!4d50.0429104!16s%2Fg%2F11vywg2728?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
جمعية تنمية الموارد البشرية,جمعية / منظمة,3653 الخامس عشر، EMGA3653، 7971، حي السلام،، سيهات‎ 32437,055 200 7822,http://www.hrda.org.sa/,4.3,F2GP+XQ,N/A,N/A,N/A,سيهات,المنطقة الشرقية,26.4774982,50.0369918,"https://www.google.com/maps/place/%D8%AC%D9%85%D8%B9%D9%8A%D8%A9+%D8%AA%D9%86%D9%85%D9%8A%D8%A9+%D8%A7%D9%84%D9%85%D9%88%D8%A7%D8%B1%D8%AF+%D8%A7%D9%84%D8%A8%D8%B4%D8%B1%D9%8A%D8%A9%E2%80%AD/@26.4774982,50.0369918,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49ff6bdb71ba0b:0x96daa9400a12e6bd!8m2!3d26.4774982!4d50.0369918!16s%2Fg%2F11tdcj9yfq?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
مسجد الإمام الباقر,مسجد,7441 شارع محمد الفاتح، الخليج، سيهات‎ 32437,054 690 4583,https://www.instagram.com/albaqirorg?igsh=MXhlMnFtMjY4OTJlcA==,4.8,F2CJ+X2,"{""الأحد"": ""٣:٠٠ص–٨:٠٠م"", ""الاثنين"": ""٣:٠٠ص–٨:٠٠م"", ""الثلاثاء"": ""٣:٠٠ص–٨:٠٠م"", ""الأربعاء"": ""٣:٠٠ص–٨:٠٠م"", ""الخميس"": ""٣:٠٠ص–٨:٠٠م"", ""الجمعة"": ""٣:٠٠ص–٨:٠٠م"", ""السبت"": ""٣:٠٠ص–٨:٠٠م""}",مفتوح · يغلق عند الساعة ٨ م,N/A,سيهات,المنطقة الشرقية,26.4724894,50.0300999,"https://www.google.com/maps/place/%D9%85%D8%B3%D8%AC%D8%AF+%D8%A7%D9%84%D8%A5%D9%85%D8%A7%D9%85+%D8%A7%D9%84%D8%A8%D8%A7%D9%82%D8%B1%E2%80%AD/@26.4724894,50.0300999,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49fe3cc4793e0d:0x1430a5d0389877f!8m2!3d26.4724894!4d50.0300999!16s%2Fg%2F119vgrs3b?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
مركز سعادة لرعاية المسنين,دار لرعاية المرضى والمسنّين,شارع أبو موسى الأنصاري، المنتزه، سيهات‎ 32452,N/A,https://csmc.sa/language/en/saadeh-center/,4.9,F2RR+8Q,"{""الأحد"": ""٩:٠٠ص–٥:٠٠م""}",مفتوح · يغلق عند الساعة ٥ م,N/A,سيهات,المنطقة الشرقية,26.4907936,50.0419652,"https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%B3%D8%B9%D8%A7%D8%AF%D8%A9+%D9%84%D8%B1%D8%B9%D8%A7%D9%8A%D8%A9+%D8%A7%D9%84%D9%85%D8%B3%D9%86%D9%8A%D9%86%E2%80%AD/@26.4907936,50.0419652,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49ff74d9b79257:0xcfe62d1d4b91b535!8m2!3d26.4907936!4d50.0419652!16s%2Fg%2F11svngrx83?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
الحسينية الحيدرية,مؤسسة دينية,F3M4+4CM، الكوثر، سيهات‎ 32431,N/A,https://instagram.com/alhaidariyah_saihat,4.6,F3M4+4CM,N/A,N/A,N/A,سيهات,المنطقة الشرقية,26.4828356,50.0560549,"https://www.google.com/maps/place/%D8%A7%D9%84%D8%AD%D8%B3%D9%8A%D9%86%D9%8A%D8%A9+%D8%A7%D9%84%D8%AD%D9%8A%D8%AF%D8%B1%D9%8A%D8%A9%E2%80%AD/@26.4828356,50.0560549,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49fffdf7c6e1bf:0x126e8eef815f2154!8m2!3d26.4828356!4d50.0560549!16s%2Fg%2F11gr3zmw4_?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
حسينية الناصر,مكان عبادة,"5145, 8232، الديرة، 8232, سيهات‎ 32461",053 269 5303,https://instagram.com/hus_alnaser?igshid=Y2I2MzMwZWM3ZA==,4.6,F2PM+MH,"{""الأحد"": ""٥:٢٠–٩:٢٠م"", ""الاثنين"": ""٥:٢٠–٩:٢٠م"", ""الثلاثاء"": ""٥:٢٠–٩:٢٠م"", ""الأربعاء"": ""٥:٢٠–٩:٢٠م"", ""الخميس"": ""٥:٢٠–٩:٢٠م"", ""الجمعة"": ""٥:٢٠–٩:٢٠م"", ""السبت"": ""٥:٢٠–٩:٢٠م""}",مغلق · يفتح عند الساعة ٥:٢٠ م,N/A,سيهات,المنطقة الشرقية,26.4867231,50.033961,"https://www.google.com/maps/place/%D8%AD%D8%B3%D9%8A%D9%86%D9%8A%D8%A9+%D8%A7%D9%84%D9%86%D8%A7%D8%B5%D8%B1%E2%80%AD/@26.4867231,50.033961,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49ff7ed47af011:0x8a378af770fb0ed0!8m2!3d26.4867231!4d50.033961!16s%2Fg%2F11gj71b09k?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
مجلس الحاج حسن عبدالله بوحليقة,مكان عبادة,4296 1، الزهور، 7041، سيهات‎ 32437,N/A,N/A,4.8,F29V+MC,N/A,N/A,N/A,سيهات,المنطقة الشرقية,26.469142,50.0435152,"https://www.google.com/maps/place/%D9%85%D8%AC%D9%84%D8%B3+%D8%A7%D9%84%D8%AD%D8%A7%D8%AC+%D8%AD%D8%B3%D9%86+%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%84%D9%87+%D8%A8%D9%88%D8%AD%D9%84%D9%8A%D9%82%D8%A9%E2%80%AD/@26.469142,50.0435152,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49ff4ab07e70bd:0xf7770b90afc6bc28!8m2!3d26.469142!4d50.0435152!16s%2Fg%2F11ghrcy3x5?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
