name_ar,category,full_address,phone_number,website,rating,plus_code,opening_times,opening_status,price_range,city_ar,region_ar,latitude,longitude,google_maps_url
زياره وحلا zyara & hala,متجر شيكولاتة,8267 طريق الملك عبدالعزيز، غرناطة، سيهات‎ 32434 4543،، سيهات‎,050 767 9679,https://www.instagram.com/zyara.hala19/,4.6,F2JW+39,"{""الأحد"": ""٣:٠٠–١١:٣٠م""}",مفتوح · يغلق عند الساعة ١١:٣٠ م,,سيهات,المنطقة الشرقية,26.4802297,50.045923,"https://www.google.com/maps/place/%D8%B2%D9%8A%D8%A7%D8%B1%D9%87+%D9%88%D8%AD%D9%84%D8%A7+zyara+%26+hala%E2%80%AD/@26.4802297,50.045923,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49ff9b8607c4f1:0x6ce459bcadbd0e3c!8m2!3d26.4802297!4d50.045923!16s%2Fg%2F11h5868njp?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
ارت سويت Art Sweet | فرع سيهات,متجر حلويات,"Khaleej Rd, Ghirnatah, Saihat، الدمام 32434",055 330 1150,https://linktr.ee/art.sweet,4.0,F3H3+QX,,,,سيهات,المنطقة الشرقية,26.4794225,50.0549402,"https://www.google.com/maps/place/%D8%A7%D8%B1%D8%AA+%D8%B3%D9%88%D9%8A%D8%AA+Art+Sweet+%7C+%D9%81%D8%B1%D8%B9+%D8%B3%D9%8A%D9%87%D8%A7%D8%AA%E2%80%AD/@26.4794225,50.0549402,16z/data=!3m1!4b1!4m6!3m5!1s0x3e49ffa910923413:0xcd9f731379a6f511!8m2!3d26.4794225!4d50.0549402!16s%2Fg%2F11njzjsmf_?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
حلويات كباجي,مخبز,الزهور، سيهات‎ 32437,056 829 2754,https://www.instagram.com/kabaji.sweets?igsh=MTJuMWxoZzJsbGNpag==,4.5,F27J+WR,"{""الأحد"": ""٤:٠٠–١١:٣٠م""}",مفتوح · يغلق عند الساعة ١١:٣٠ م,,سيهات,المنطقة الشرقية,26.4647729,50.0321104,"https://www.google.com/maps/place/%D8%AD%D9%84%D9%88%D9%8A%D8%A7%D8%AA+%D9%83%D8%A8%D8%A7%D8%AC%D9%8A%E2%80%AD/@26.4647729,50.0321104,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49ff006f32b3df:0x993a895d941354dc!8m2!3d26.4647729!4d50.0321104!16s%2Fg%2F11wn5dnp17?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
sweet bubbles فقاعات الحلوى,متجر حلويات,"Ismail Alasmadi, الديرة، سيهات‎ 32461",056 746 8771,https://snapchat.com/t/p9Hgtt8J,4.4,F2PP+CP,"{""الأحد"": ""٣:٠٠–١٠:٣٠م""}",مفتوح · يغلق عند الساعة ١٠:٣٠ م,,سيهات,المنطقة الشرقية,26.4861199,50.0368101,"https://www.google.com/maps/place/sweet+bubbles+%D9%81%D9%82%D8%A7%D8%B9%D8%A7%D8%AA+%D8%A7%D9%84%D8%AD%D9%84%D9%88%D9%89%E2%80%AD/@26.4861199,50.0368101,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49ffe7eb9a56dd:0x3b31288377e8a5e8!8m2!3d26.4861199!4d50.0368101!16s%2Fg%2F11fmm15458?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
مخابز زين الدين,مخبز,شارع عمر بن عبدالعزيز، السلام، سيهات‎ 32437,013 850 1212,https://instagram.com/zainuddinbp.sa?igshid=YmMyMTA2M2Y=,4.4,F2GV+39,"{""الأحد"": ""٥:٠٠ص–١٢:٠٠ص""}",مفتوح · يغلق عند الساعة ١٢ ص,,سيهات,المنطقة الشرقية,26.475243,50.0434532,"https://www.google.com/maps/place/%D9%85%D8%AE%D8%A7%D8%A8%D8%B2+%D8%B2%D9%8A%D9%86+%D8%A7%D9%84%D8%AF%D9%8A%D9%86%E2%80%AD/@26.475243,50.0434532,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49fe4197467873:0x16b146a6bf7e7de3!8m2!3d26.475243!4d50.0434532!16s%2Fg%2F11b725df30?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
كريب رول,متجر حلويات,4659 عمر بن عبد العزيز، غرناطة، سيهات‎ 32434,054 536 3171,https://instagram.com/c.roll1?igshid=1h3zdxhmryeva,4.0,F29W+CQ,"{""الأحد"": ""١٢:٣٠–١١:٠٠م""}",مفتوح · يغلق عند الساعة ١١ م,,سيهات,المنطقة الشرقية,26.4685306,50.0469156,"https://www.google.com/maps/place/%D9%83%D8%B1%D9%8A%D8%A8+%D8%B1%D9%88%D9%84%E2%80%AD/@26.4685306,50.0469156,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49fe6f1dfcc977:0x5f243016972767b6!8m2!3d26.4685306!4d50.0469156!16s%2Fg%2F11c709x74n?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
لقيمات بنت القاضي سيهات - فرع الدانه,متجر حلويات,"حي الدانة, 4590 عمر بن عبد العزيز, الدانة، سيهات‎ 32437",054 559 3729,http://www.bint-alqadi.com/,4.0,F29W+3J,"{""الأحد"": ""١٢:٣٠–١٠:٣٠م""}",مفتوح · يغلق عند الساعة ١٠:٣٠ م,,سيهات,المنطقة الشرقية,26.4676616,50.0465121,"https://www.google.com/maps/place/%D9%84%D9%82%D9%8A%D9%85%D8%A7%D8%AA+%D8%A8%D9%86%D8%AA+%D8%A7%D9%84%D9%82%D8%A7%D8%B6%D9%8A+%D8%B3%D9%8A%D9%87%D8%A7%D8%AA+-+%D9%81%D8%B1%D8%B9+%D8%A7%D9%84%D8%AF%D8%A7%D9%86%D9%87%E2%80%AD/@26.4676616,50.0465121,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49ff34bc7127fb:0xbb1ae0cfc85fe147!8m2!3d26.4676616!4d50.0465121!16s%2Fg%2F11j10n4mqv?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
Golden Delight,بوفيه الحلويات وأطباق الحلو,شارع عمر بن عبدالعزيز، النور، سيهات‎ 32452,055 994 2498,https://www.instagram.com/golden.delight1?igsh=MTF6Yzl2NmVtc3RjZg==,4.1,F2PQ+8Q,,,,سيهات,المنطقة الشرقية,26.4858105,50.0394588,"https://www.google.com/maps/place/Golden+Delight/@26.4858105,50.0394588,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49ff23c0aa5107:0x966b3f10c3218a7c!8m2!3d26.4858105!4d50.0394588!16s%2Fg%2F11z7cm5z_g?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
مخابز دلتا الحديثة,مخبز,F2GW+XJF، طريق الملك عبدالعزيز، غرناطة، سيهات‎ 32434,057 642 6267,,4.0,F2GW+XJF,"{""الأحد"": ""٦:٠٠ص–١٢:٠٠ص""}",مفتوح · يغلق عند الساعة ١٢ ص,,سيهات,المنطقة الشرقية,26.4774273,50.0465451,"https://www.google.com/maps/place/%D9%85%D8%AE%D8%A7%D8%A8%D8%B2+%D8%AF%D9%84%D8%AA%D8%A7+%D8%A7%D9%84%D8%AD%D8%AF%D9%8A%D8%AB%D8%A9%E2%80%AD/@26.4774273,50.0465451,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49fe43ac7c3cab:0x3e96b286df7b260c!8m2!3d26.4774273!4d50.0465451!16s%2Fg%2F1hf419str?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
حلا سيهات,سوبرماركت,Unnamed Road، سيهات‎ 32452,055 387 2001,,4.0,F2RM+M6,"{""الأحد"": ""٣:٣٠–١٠:٤٥م""}",مفتوح · يغلق عند الساعة ١٠:٤٥ م,,سيهات,المنطقة الشرقية,26.4916595,50.0331179,"https://www.google.com/maps/place/%D8%AD%D9%84%D8%A7+%D8%B3%D9%8A%D9%87%D8%A7%D8%AA%E2%80%AD/@26.4916595,50.0331179,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49fff388cf4a53:0xeb06f7619d409d25!8m2!3d26.4916595!4d50.0331179!16s%2Fg%2F11g199chl1?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
Fluffy Pancake Cafe مقهى فلافي بانكيك,مطعم الحلويات اليابانية,"حي, طريق الملك عبدالعزيز، الزهور، سيهات‎ 32437",055 334 3876,https://order.lazywait.com/vendor?storeUrl=fluffy,4.3,F29R+3F,"{""الأحد"": ""٩:٠٠ص–١:٠٠م٣:٣٠م–١٢:٠٠ص""}",مفتوح · يغلق عند الساعة ١٢ ص,,سيهات,المنطقة الشرقية,26.4677244,50.0412448,"https://www.google.com/maps/place/Fluffy+Pancake+Cafe+%D9%85%D9%82%D9%87%D9%89+%D9%81%D9%84%D8%A7%D9%81%D9%8A+%D8%A8%D8%A7%D9%86%D9%83%D9%8A%D9%83%E2%80%AD/@26.4677244,50.0412448,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49ff3a7e918431:0x1c56f48839fe7e0b!8m2!3d26.4677244!4d50.0412448!16s%2Fg%2F11l322yzpp?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
حلويات غرناطه فرع سيهات,مخبز,"3457 طريق الملك عبدالعزيز، حي المنتزة, EMMA6837, 6837, سيهات‎ 32452",055 223 4199,https://instagram.com/ghirnatah.sweets?igshid=MzRlODBiNWFlZA==,3.6,F2PV+P6,"{""الأحد"": ""٧:٠٠ص–١٠:٣٠م""}",مفتوح · يغلق عند الساعة ١٠:٣٠ م,,سيهات,المنطقة الشرقية,26.4868117,50.0431246,"https://www.google.com/maps/place/%D8%AD%D9%84%D9%88%D9%8A%D8%A7%D8%AA+%D8%BA%D8%B1%D9%86%D8%A7%D8%B7%D9%87+%D9%81%D8%B1%D8%B9+%D8%B3%D9%8A%D9%87%D8%A7%D8%AA%E2%80%AD/@26.4868117,50.0431246,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49fff752dd7b6f:0xf5ee541dc1d88b15!8m2!3d26.4868117!4d50.0431246!16s%2Fg%2F11ksnvbfd3?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
الرغيف الفاخر,مخبز,3381 الشارع الخامس عشر، السلام،، سيهات‎ 32437,055 860 2022,,4.3,F2GM+GM,"{""الأحد"": ""٥:٠٠ص–١٢:٠٠ص"", ""الاثنين"": ""٥:٠٠ص–١٢:٠٠ص"", ""الثلاثاء"": ""٥:٠٠ص–١٢:٠٠ص"", ""الأربعاء"": ""٥:٠٠ص–١٢:٠٠ص"", ""الخميس"": ""٥:٠٠ص–١٢:٠٠ص"", ""الجمعة"": ""٥:٠٠ص–١٢:٠٠ص"", ""السبت"": ""٥:٠٠ص–١٢:٠٠ص""}",مفتوح · يغلق عند الساعة ١٢ ص,,سيهات,المنطقة الشرقية,26.4762664,50.0341859,"https://www.google.com/maps/place/%D8%A7%D9%84%D8%B1%D8%BA%D9%8A%D9%81+%D8%A7%D9%84%D9%81%D8%A7%D8%AE%D8%B1%E2%80%AD/@26.4762664,50.0341859,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49ff386ade08cd:0x38e97224c76701!8m2!3d26.4762664!4d50.0341859!16s%2Fg%2F11s9jtgc4h?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
حلويات سكون,متجر حلويات,7492 طريق الملك عبدالعزيز، الفردوس، سيهات‎ 32434,054 638 4300,http://facebook.com/SakoonSweets,4.7,F2FX+82,"{""الأحد"": ""مغلق""}",مغلق · يفتح يوم الاثنين عند الساعة ٣:٣٠ م,,سيهات,المنطقة الشرقية,26.4733128,50.0476092,"https://www.google.com/maps/place/%D8%AD%D9%84%D9%88%D9%8A%D8%A7%D8%AA+%D8%B3%D9%83%D9%88%D9%86%E2%80%AD/@26.4733128,50.0476092,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49fe684532655f:0x18ae01db24bcb6b6!8m2!3d26.4733128!4d50.0476092!16s%2Fg%2F11c4ww582_?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
بابا كنافة سيهات,الحلويات,شارع الملك عبدالعزيز، الزهور، سيهات‎ 32431,058 174 8710,,3.8,F29W+J3,"{""الأحد"": ""٢:٠٠م–١٢:٣٠ص""}",مفتوح · يغلق عند الساعة ١٢:٣٠ ص,,سيهات,المنطقة الشرقية,26.4691172,50.0451663,"https://www.google.com/maps/place/%D8%A8%D8%A7%D8%A8%D8%A7+%D9%83%D9%86%D8%A7%D9%81%D8%A9+%D8%B3%D9%8A%D9%87%D8%A7%D8%AA%E2%80%AD/@26.4691172,50.0451663,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49ff252e39816d:0x8141e5736889c451!8m2!3d26.4691172!4d50.0451663!16s%2Fg%2F11rstshrb0?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
Racconto Boutique - راكونتو بوتيك,بوظة,شارع الملك فيصل بن عبدالعزيز، النور، سيهات‎ 32452,,https://www.instagram.com/racconto.sa,4.8,F2QR+7M,"{""الأحد"": ""١:٠٠م–١٢:٠٠ص""}",مفتوح · يغلق عند الساعة ١٢ ص,,سيهات,المنطقة الشرقية,26.4882384,50.041652,"https://www.google.com/maps/place/Racconto+Boutique+-+%D8%B1%D8%A7%D9%83%D9%88%D9%86%D8%AA%D9%88+%D8%A8%D9%88%D8%AA%D9%8A%D9%83%E2%80%AD/@26.4882384,50.041652,17z/data=!3m1!4b1!4m6!3m5!1s0x3e49ff8aecd53e15:0x29a2c123a9dccd8a!8m2!3d26.4882384!4d50.041652!16s%2Fg%2F11xcyk5pcm?authuser=0&hl=ar&entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D"
